Name,Link
Abomasnow,https://i.imgur.com/zTvfiUA.png
Abra,https://i.imgur.com/uFuMA5P.png
Aipom,https://i.imgur.com/Hu5FeY7.png
Alakazam,https://i.imgur.com/Y96mJmC.png
Ambipom,https://i.imgur.com/rSFYdMI.png
Arcanine,https://i.imgur.com/YgCMk7m.png
Arceus,https://i.imgur.com/Hb0ftf0.png
Avalugg,https://i.imgur.com/OjTwnTe.png
Azelf,https://i.imgur.com/0BitXNI.png
Barboach,https://i.imgur.com/axPy5fb.png
Basculegion,https://i.imgur.com/ibxuMh2.png
Basculin,https://i.imgur.com/aE74W5o.png
Bastiodon,https://i.imgur.com/k9qwvHE.png
Beautifly,https://i.imgur.com/0XRnHDz.png
Bergmite,https://i.imgur.com/rVaAxxf.png
Bibarel,https://i.imgur.com/XgM0B9B.png
Bidoof,https://i.imgur.com/LBxrBqq.png
Blissey,https://i.imgur.com/Gx9gOk5.png
Bonsly,https://i.imgur.com/QnwuHUX.png
Braviary,https://i.imgur.com/M7XVhsv.png
Bronzong,https://i.imgur.com/bs1ArVN.png
Bronzor,https://i.imgur.com/g1KhSpK.png
Budew,https://i.imgur.com/mzLtNR2.png
Buizel,https://i.imgur.com/DLxt8Aa.png
Buneary,https://i.imgur.com/XR27cQK.png
Burmy,https://i.imgur.com/H2pwCJb.png
Carnivine,https://i.imgur.com/riDDc45.png
Cascoon,https://i.imgur.com/fMVpjhv.png
Chansey,https://i.imgur.com/BOBXogp.png
Chatot,https://i.imgur.com/jkAKhbm.png
Cherrim,https://i.imgur.com/VvRlkS9.png
Cherubi,https://i.imgur.com/2vYZeZ0.png
Chimchar,https://i.imgur.com/6q6sViD.png
Chimecho,https://i.imgur.com/JWs5HuL.png
Chingling,https://i.imgur.com/NCNfN1L.png
Clefable,https://i.imgur.com/R5R64XM.png
Clefairy,https://i.imgur.com/40ZKKrZ.png
Cleffa,https://i.imgur.com/9ARyUUL.png
Combee,https://i.imgur.com/sNGEi4i.png
Cranidos,https://i.imgur.com/hfQvUm4.png
Cresselia,https://i.imgur.com/455rvtZ.png
Croagunk,https://i.imgur.com/RQn5UKg.png
Crobat,https://i.imgur.com/lgmfLYl.png
